"No.","Time","Source","Destination","Protocol","Length","Info"
"305","2.169180","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=248150 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"306","2.169180","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=249610 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"307","2.169180","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"308","2.169290","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=252530 Win=262656 Len=0"
"309","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=252530 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"310","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=253990 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"311","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=255450 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"312","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=256910 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"313","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=258370 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"314","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=259830 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"315","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=261290 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"316","2.169442","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=262750 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"317","2.169573","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=264210 Win=262656 Len=0"
"318","2.174226","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=264210 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"319","2.174226","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=265670 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"320","2.174226","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"321","2.174226","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=268590 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"322","2.174226","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=270050 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"323","2.174333","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=271510 Win=262656 Len=0"
"324","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=271510 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"325","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=272970 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"326","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=274430 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"327","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=275890 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"328","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=277350 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"329","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=278810 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"330","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=280270 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"331","2.175175","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=281730 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"332","2.175175","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"333","2.175278","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=284650 Win=262656 Len=0"
"334","2.176011","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=284650 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"335","2.176053","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=286110 Win=262656 Len=0"
"336","2.179068","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=286110 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"337","2.179068","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=287570 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"338","2.179068","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=289030 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"339","2.179068","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=290490 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"340","2.179068","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=291950 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"341","2.179119","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=293410 Win=262656 Len=0"
"342","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=293410 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"343","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=294870 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"344","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=296330 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"345","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=297790 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"346","2.183583","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"347","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=300710 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"348","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=302170 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"349","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=303630 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"350","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=305090 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"351","2.183583","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=306550 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"352","2.183735","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=308010 Win=262656 Len=0"
"353","2.183956","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=308010 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"354","2.183956","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=309470 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"355","2.183956","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=310930 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"356","2.183956","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=312390 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"357","2.183956","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=313850 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"358","2.184000","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=315310 Win=262656 Len=0"
"359","2.187988","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=315310 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"360","2.189113","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"361","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=318230 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"362","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [PSH, ACK] Seq=319690 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"363","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=321150 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"364","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=322610 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"365","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=324070 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"366","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=325530 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"367","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=326990 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"368","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=328450 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"369","2.189113","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=329910 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"370","2.189175","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=331370 Win=262656 Len=0"
"371","2.189998","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=331370 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"372","2.189998","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"373","2.189998","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=334290 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"374","2.190058","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=335750 Win=262656 Len=0"
"375","2.194738","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=335750 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"376","2.194738","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=337210 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"377","2.194738","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=338670 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"378","2.194826","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=340130 Win=262656 Len=0"
"379","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=340130 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"380","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=341590 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"381","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=343050 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"382","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=344510 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"383","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=345970 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"384","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=347430 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"385","2.195065","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"386","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=350350 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"387","2.195065","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=351810 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"388","2.195142","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=353270 Win=262656 Len=0"
"389","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=353270 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"390","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=354730 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"391","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=356190 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"392","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=357650 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"393","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=359110 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"394","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=360570 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"395","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=362030 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"396","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=363490 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"397","2.200454","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"398","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=366410 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"399","2.200454","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=367870 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"400","2.200666","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=369330 Win=262656 Len=0"
"401","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=369330 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"402","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=370790 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"403","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=372250 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"404","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=373710 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"405","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=375170 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"406","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=376630 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"407","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=378090 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"408","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=379550 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"409","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=381010 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"410","2.208602","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"411","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [PSH, ACK] Seq=383930 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"412","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=385390 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"413","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=386850 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"414","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=388310 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"415","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=389770 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"416","2.208602","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=391230 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"417","2.208780","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=392690 Win=262656 Len=0"
"418","2.214195","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=392690 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"419","2.214195","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=394150 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"420","2.214195","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=395610 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"421","2.214195","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"422","2.214195","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"423","2.214195","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=399990 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"424","2.214195","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=401450 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"425","2.214195","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=402910 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"426","2.214342","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=404370 Win=262656 Len=0"
"427","2.215958","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=404370 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"428","2.215958","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=405830 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"429","2.215958","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=407290 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"430","2.215958","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=408750 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"431","2.215958","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=410210 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"432","2.215958","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=411670 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"433","2.215958","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=413130 Ack=4299 Win=39808 Len=1460 [TCP segment of a reassembled PDU]"
"434","2.215958","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"435","2.216060","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=416050 Win=262656 Len=0"
"436","2.216161","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","873","Application Data"
"437","2.216216","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=4299 Ack=416869 Win=261888 Len=0"
"438","2.221176","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","128","Application Data"
"439","2.222636","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","89","Application Data"
